vulnerability_id,contextual_risk_score,priority_label,risk_level,key_risk_drivers,confidence_level
CVE-2025-69873,34.2,P2 ,High ,[],0.85
CVE-2026-33750,35.7,P2,High,[],0.92
CVE-2026-27903,34.7,P2,High,[],0.92
CVE-2025-13465,14,P4,Low,"['S_cvss = 8.2/10: CVSS 8.2 (High) for a Prototype Pollution vulnerability in lodash 4.17.21 (npm). Prototype Pollution can enable property injection and, in some code paths, remote code execution, giving it an inherently high severity rating.', ""S_exp = 2.0/10: Deployment exposure is minimal. The affected asset (asset-push-019) is in a DEV environment, has INTERNAL network exposure only, and carries an INTERNAL data classification. There is no internet-facing attack surface, and the asset tier is 'supporting'. This drastically reduces real-world exploitability compared to a production, internet-exposed system."", ""S_crit = 2.0/10: Business criticality is low. The affected service (push-deploy-stackman) is a CloudFormation deployment helper used in the CI/CD pipeline. Its criticality is 'supporting', revenue impact is 'low', and it does NOT handle PII. Compromise of this service would not directly impact revenue-generating or customer-facing operations."", 'S_exploit = 1.0/10: Exploit likelihood is extremely low. EPSS score is 0.00029 (bottom percentile), the CVE is NOT listed in CISA KEV, and there is NO known public exploit. There is no evidence of active exploitation in the wild.', 'S_blast = 1.0/10: Blast radius is negligible. The service push-deploy-stackman has ZERO upstream or downstream service dependencies. Only 1 asset is affected by this package version. The vulnerability is completely isolated with no potential for cascading impact across the enterprise. Aggregate S_priority = 8.2 + 2.0 + 2.0 + 1.0 + 1.0 = 14.2 / 50 → normalized contextual score = 2.8/10.']",0.95
CVE-2026-44240,13.7,P4,Low,[],1
CVE-2026-6357,11.1,P4,Low,[],0.95
CVE-2024-56201,12.8,P4,Low,"['High intrinsic CVSS score of 8.8 (Improper Neutralization in jinja2 v3.1.3) contributes 8.8/10 to severity dimension, but is heavily offset by benign contextual factors.', ""Deployment Exposure is minimal (scored 1.5/10): asset 'asset-push-021' resides in a **dev** environment, on an **internal** network with **internal** data classification, significantly reducing attack surface."", ""Business Criticality is negligible (scored 1.0/10): the affected service 'push-build-deps-dev' is classified as **supporting** criticality, has **low** revenue impact, does **not handle PII**, and is explicitly described as 'Not deployed' — it is build-time tooling only (linters, testing tools, build helpers)."", 'Exploit Likelihood is very low (scored 1.0/10): EPSS probability is 0.00423 (0.42%), the vulnerability is **not** on the CISA KEV list, and **no public exploit** is available, indicating minimal active threat activity.', ""Blast Radius is negligible (scored 0.5/10): the service 'push-build-deps-dev' has **zero** outgoing or incoming service dependencies, meaning a compromise would not cascade to any other service in the enterprise environment."", 'Aggregate formula: S_priority = S_cvss(8.8) + S_exp(1.5) + S_crit(1.0) + S_exploit(1.0) + S_blast(0.5) = 12.8/50, normalized to 2.56/10.']",0.95
CVE-2023-25345,14.0,P4,Low,"['S_cvss = 7.5/10: CVSS 7.5 (High) for Arbitrary File Read in swig-templates 2.0.3 (npm). The intrinsic severity is the strongest risk signal, but it is heavily mitigated by contextual factors.', 'S_exp = 2.0/10: The affected asset (asset-push-019) is in a **dev** environment with **internal** network exposure and **internal** data classification. It is a CI/CD tool (ci-tool) hosted on AWS with no internet-facing surface. This drastically reduces attacker reachability.', 'S_crit = 2.0/10: The hosted service (push-deploy-stackman) is a **supporting** CloudFormation deployment helper in the CI/CD pipeline. Revenue impact is **low**, it handles **no PII**, and its criticality tier is **supporting**. Compromise would not directly impact customers or revenue-generating services.', 'S_exploit = 1.5/10: EPSS score is extremely low at **0.00433** (~0.4% probability of exploitation in the next 30 days). The vulnerability is **not** listed in CISA KEV and there is **no public exploit** available, indicating minimal active threat actor interest.', 'S_blast = 1.0/10: The service push-deploy-stackman has **zero downstream dependencies** and **zero upstream dependents**. It is completely isolated in the service dependency graph. Only a **single asset** is affected. The blast radius is minimal with no cascading impact potential.']",0.92
CVE-2026-24049,10.2,P4,Low,[],1
CVE-2020-7660,29,P3,Medium,"['High intrinsic severity (CVSS 8.1) — Arbitrary Code Injection vulnerability in the serialize-javascript npm package (v6.0.0), capable of enabling remote code execution', 'Shared library blast radius — The vulnerable package resides in push-shared-configs, a shared configuration library directly depended upon by 3 services (push-api, push-campaign-api, push-admin), with transitive impact reaching push-registrar (4 unique downstream services total)', 'Transitive impact on mission-critical PII-handling services — push-api (mission-critical, high revenue, PII) and push-registrar (mission-critical, high revenue, PII) are in the downstream dependency chain; code injection in the shared config library could propagate to these services', 'Production asset affected — asset-push-016 runs in the prod environment on AWS, meaning the vulnerability is present in the live production runtime', 'Mitigated by internal-only exposure — Both affected assets (asset-push-016, asset-push-018) have internal network exposure and internal data classification, with no direct internet-facing attack surface, reducing exploitability', 'Low exploit likelihood — EPSS score is 0.029 (2.9%), not listed in CISA KEV catalog, and no public exploit is available, indicating low near-term exploitation probability']",0.85
CVE-2026-31958,12.2,P4,Low,"['High intrinsic CVSS score of 8.7 (Allocation of Resources Without Limits or Throttling in tornado 6.4) contributes severity, but is heavily offset by contextual factors', ""Deployment Exposure is minimal (score 1.5/10): asset 'asset-push-021' is in a 'dev' environment, on an 'internal' network with 'internal' data classification — no internet-facing attack surface exists"", ""Business Criticality is negligible (score 1.0/10): the affected service 'push-build-deps-dev' is classified as 'supporting' criticality with 'low' revenue impact, handles no PII, and is explicitly described as 'Not deployed' dev tooling (linters, testing tools, build helpers)"", 'Exploit Likelihood is extremely low (score 0.5/10): EPSS is 0.00027 (bottom percentile), the CVE is not on the CISA KEV list, and no public exploit code is available — active exploitation is highly unlikely', ""Blast Radius is negligible (score 0.5/10): no upstream or downstream service dependencies were found for 'push-build-deps-dev', only a single asset is affected, and the package is confined to a pip dev-requirements manifest with no production deployment path""]",0.95
CVE-2024-52804,12.5,P4,Low,"['Vulnerability Severity (S_cvss = 7.5/10): CVSS 7.5 High — Regular Expression Denial of Service (ReDoS) in tornado 6.4 (pip). While the intrinsic severity is high, all contextual dimensions significantly reduce the real-world risk.', ""Deployment Exposure (S_exp = 1.5/10): The sole affected asset (asset-push-021) is in a 'dev' environment, has 'internal' network exposure (not internet-facing), and carries an 'internal' data classification. The hostname (push-build-deps-dev-dev-021.push.internal) confirms it is a non-routable, internal-only development host. Attack surface is extremely limited."", ""Business Criticality (S_crit = 1.0/10): The hosting service 'push-build-deps-dev' is described as 'Top-level Python dev requirements (linters, testing tools, build helpers). Not deployed.' Its criticality is 'supporting', revenue impact is 'low', and it handles no PII. This package is never deployed to production."", 'Exploit Likelihood (S_exploit = 0.5/10): EPSS score is 0.00148 (~0.15% probability of exploitation in the next 30 days). The vulnerability is NOT listed in CISA KEV, and there is NO known public exploit. Exploitation likelihood is negligible.', ""Blast Radius (S_blast = 0.5/10): tornado 6.4 is installed on only a single asset (asset-push-021). The associated service 'push-build-deps-dev' has ZERO upstream or downstream service dependencies — no other services depend on it and it depends on no other services. The blast radius is completely contained with no possibility of lateral impact across the enterprise.""]",0.93
CVE-2025-62727,12.2,P4,Low,[],1
CVE-2026-41324,14.2,P4,Low ,[],1
CVE-2026-32597,12.2,P4,Low,[],1
CVE-2024-56326,14.1,P4,Low,[],1
CVE-2025-27516,12.5,P4,Low,"['High intrinsic CVSS score of 8.8 (Template Injection in Jinja2 3.1.3) contributes severity, but all contextual factors heavily mitigate actual risk.', ""Asset 'asset-push-021' resides in a DEV environment with INTERNAL network exposure and INTERNAL data classification — not reachable from the internet and not handling sensitive data."", ""Hosting service 'push-build-deps-dev' is classified as SUPPORTING criticality with LOW revenue impact, does NOT handle PII, and is explicitly described as 'Not deployed' (dev-only build dependencies: linters, testing tools, build helpers)."", 'Threat intelligence signals are minimal: EPSS score is 0.00121 (<0.2% exploitation probability), vulnerability is NOT on CISA KEV, and NO public exploit exists.', 'Blast radius is negligible: the service has ZERO upstream or downstream service dependencies — no other service depends on it and it depends on no other service, meaning exploitation cannot propagate.', 'Dimensional scoring breakdown (each 0-10): S_cvss=8.8, S_exp=1.5 (dev/internal/internal), S_crit=1.0 (supporting/low revenue/no PII/not deployed), S_exploit=0.5 (very low EPSS, no KEV, no public exploit), S_blast=0.5 (zero dependencies, fully isolated). Aggregate=12.3/50, normalized to 2.5/10.']",0.93
CVE-2024-47874,12,P4,Low,"['High intrinsic CVSS score of 8.7 (Allocation of Resources Without Limits or Throttling in starlette v0.37.2) is the sole significant risk contributor, but it is heavily mitigated by all contextual dimensions.', 'Deployment Exposure is minimal (S_exp ≈ 1.5/10): the affected asset (asset-push-021) is in a dev environment, on an internal network with no internet exposure, and holds only internal-classified data.', ""Business Criticality is very low (S_crit ≈ 1.0/10): the hosting service 'push-build-deps-dev' is explicitly described as 'Top-level Python dev requirements (linters, testing tools, build helpers). Not deployed.' It is a supporting-tier service with low revenue impact and no PII handling."", 'Exploit Likelihood is negligible (S_exploit ≈ 0.5/10): EPSS is 0.00125 (0.125%), not listed in CISA KEV, and no public exploit code exists.', 'Blast Radius is negligible (S_blast ≈ 0.5/10): the service has zero upstream or downstream dependencies, the vulnerable package (starlette) is installed on only one asset, and the service is not deployed to production.']",0.95
CVE-2025-47273,14.3,P4,Low,"['High intrinsic CVSS score of 8.8 (Directory Traversal) drives theoretical severity, but is substantially mitigated by deployment context.', 'Both affected packages (setuptools 40.5.0 and 69.5.1) are installed exclusively on dev-environment, internal-only assets (asset-push-022, asset-push-021) with internal data classification and supporting tier, yielding minimal deployment exposure (S_exp=2.0/10).', 'Affected services (push-build-deps-jenkins, push-build-deps-dev) are classified as supporting criticality with low revenue impact and no PII handling. One service is a Jenkins CI pipeline dependency and the other is a non-deployed dev requirements set (S_crit=1.5/10).', 'Threat intelligence signals are benign: EPSS is 0.00487 (~0.5%), not KEV-listed, and no public exploit exists, indicating negligible active exploitation likelihood (S_exploit=1.0/10).', 'Zero blast radius: no upstream or downstream service dependencies exist for either affected service; the vulnerable package is isolated to only 2 dev assets with no path to production or customer-facing infrastructure (S_blast=1.0/10).', 'Dimension score breakdown — S_cvss: 8.8, S_exp: 2.0, S_crit: 1.5, S_exploit: 1.0, S_blast: 1.0; aggregate S_priority: 14.3/50, normalized: 2.86/10.']",0.92
CVE-2025-5889,25,P3,Medium,"['Wide deployment footprint: vulnerable package brace-expansion@1.1.11 is installed across 18 assets (11 in production) spanning 13 distinct services, creating a large attack surface', 'Internet-facing mission-critical services affected: push-api and push-registrar are mission-critical, internet-facing, handle PII, and carry high revenue impact — a ReDoS against these could cause customer-facing outages', 'Shared component cascade risk: push-shared-common is a foundational dependency used by 9 upstream services including both mission-critical services; a DoS on this component could cascade across the entire push-notification platform', 'Regulated data environment exposure: push-gdpr-worker processes regulated data on a critical-tier asset, meaning availability disruption could impact GDPR compliance workflows', 'Low intrinsic severity mitigates urgency: CVSS is only 3.1 (Low) — ReDoS impacts availability only, not confidentiality or integrity, limiting worst-case damage to service degradation', 'Near-zero exploitation probability: EPSS is 0.00092 (0.09%), no KEV listing, no known public exploit — there is minimal evidence of active or imminent exploitation in the wild', 'Package usage context reduces reachability: brace-expansion is an npm utility used for file-glob pattern expansion, typically invoked at build-time or internally, and is unlikely to be directly reachable via internet-facing request paths, substantially reducing practical exploitability despite the internet-facing deployment']",0.78
CVE-2026-1703,7.4,P4,Low,"['CVSS 3.9 (Low severity) – Directory Traversal vulnerability with limited intrinsic severity.', ""Deployment Exposure is minimal: the affected asset (asset-push-021) is in a 'dev' environment, on an 'internal' network with 'internal' data classification, hosted on AWS. Not internet-facing."", ""Business Criticality is very low: the hosting service 'push-build-deps-dev' is classified as 'supporting' criticality with 'low' revenue impact, handles no PII, and is explicitly described as 'Not deployed' (dev-only build tooling – linters, testing tools, build helpers)."", 'Exploit Likelihood is negligible: EPSS score is 0.026% (0.00026), not listed on CISA KEV, and no public exploit is available.', 'Blast Radius is negligible: the service has zero downstream dependencies (DEPENDS_ON) and zero upstream services depending on it, meaning compromise would be entirely isolated to a non-production dev build environment with no path to production services or data.', 'Vulnerable package is pip 24.0 (Python ecosystem), installed only on a single dev-requirements asset, limiting scope of exposure.']",0.95
CVE-2024-45813,34.5,P2,High,"['Wide deployment across 14 assets (8 production, 5 staging, 1 shared library) with multiple internet-facing production hosts classified as mission-critical or critical tier', 'Directly affects mission-critical services (push-api, push-registrar) that handle PII, carry high revenue impact, and are internet-facing — a ReDoS vulnerability on HTTP routing (find-my-way) in these services could cause denial of service to core API endpoints', 'Massive blast radius via push-shared-common: this shared npm library is a dependency for 10 downstream services spanning the entire push notification platform, including mission-critical, critical, and regulated services', 'Regulated data exposure: push-gdpr-worker processes regulated PII data on a critical-tier asset, meaning a DoS could impact compliance-sensitive data processing workflows', 'Low exploit likelihood is the primary mitigating factor: EPSS is only 0.00076, no KEV listing, and no known public exploit — ReDoS requires attacker-crafted input reaching vulnerable regex paths', 'CVSS 6.9 (Medium) underrepresents enterprise risk given the deployment context: internet-facing, mission-critical, PII-handling, confidential-data assets amplify the real-world impact significantly']",0.92
CVE-2024-43799,29.5,P2,Medium-High,"[""Vulnerability (CVSS 5.0, XSS) exists in npm package 'send@0.16.2' deployed across 14 assets (9 production) hosting 9 distinct services, creating broad attack surface across the entire push notification platform."", 'High deployment exposure: 6 internet-facing assets (including 3 production), 7 assets classified as confidential, 1 as regulated, and 4 tagged mission-critical. Internet-facing production systems with confidential data significantly elevate exploitability.', 'Critical business impact: Directly affects mission-critical services push-api and push-registrar (both high revenue impact, PII-handling), plus push-gdpr-worker which processes GDPR deletion requests on regulated data under audit — creating compliance risk.', 'Massive blast radius via push-shared-common: This shared internal npm library depends on the vulnerable package and is consumed by 9 transitive upstream services (push-api, push-registrar, push-legacy-api, push-campaign-api, push-admin, push-legacy-worker, push-queue-worker, push-gdpr-worker, push-status-worker), meaning a single vulnerable package creates systemic platform-wide exposure.', 'Low exploit likelihood moderates urgency: EPSS score is 0.00166 (0.166%), not listed in CISA KEV, and no public exploit exists. While the contextual exposure is high, active exploitation risk is currently low.']",0.85
CVE-2026-41907,29.8,P3,Medium,"[""Vulnerability (CVSS 6.3/10, S_cvss=6.3): Medium-severity 'Improper Validation of Specified Index, Position, or Offset in Input' — an input validation flaw in the npm 'uuid' package that could enable out-of-bounds access or denial of service."", 'Deployment Exposure (S_exp=7.0): Extremely broad deployment across 12 distinct assets spanning 4 vulnerable uuid versions (3.4.0, 8.0.0, 9.0.1, 10.0.0). Two assets (push-api-prod-001 and push-api-staging-010) are internet-facing and host the mission-critical push-api service. One asset (push-campaign-api-prod-004) is partner-network exposed. The GDPR worker asset holds regulated data. Multiple production assets handle confidential data classification.', 'Business Criticality (S_crit=8.0): Directly impacts 9 services including: push-api (mission-critical, high revenue, handles PII — the core push notification REST API), push-gdpr-worker (critical, handles PII, processes GDPR deletion requests under audit with regulated data), push-shared-access-control (critical shared npm library enforcing tenant-scoped authorization for push-api and push-registrar), push-admin (critical administration API), and push-campaign-api (important, handles PII, Salesforce Marketing Cloud integration).', 'Exploit Likelihood (S_exploit=1.0): Very low exploitation probability — EPSS is only 0.00055 (0.055%), NOT listed in CISA KEV catalog, and NO public exploit is available. This is the strongest mitigating factor that prevents this from being a higher-priority item.', 'Blast Radius (S_blast=7.5): 9 services directly affected. Downstream dependency analysis reveals additional cascading risk: push-shared-access-control is depended upon by both push-api and push-registrar (both mission-critical), meaning a compromise of the shared auth library could cascade to the entire notification infrastructure. push-admin is depended upon by push-api and push-registrar. push-legacy-worker fans out to push-queue-worker, push-campaign-api, push-legacy-api, and push-status-worker. In total, ~12+ unique services fall within the blast radius, spanning the full push notification platform.']",0.85
CVE-2023-28155,26,P3,Medium,"[""SSRF vulnerability (CVSS 6.5) in the deprecated npm 'request' package (v2.88.2) running in AWS production — SSRF in cloud environments carries elevated risk due to potential EC2 metadata / IMDS exploitation (S_cvss: 6.5/10)"", ""Production deployment on partner-network-exposed asset (asset-push-004) with 'confidential' data classification; a second asset (asset-push-016) is internal-only — partner-facing exposure widens the attack surface beyond internal-only but is not fully internet-facing (S_exp: 6.0/10)"", ""Directly affected service push-campaign-api is 'important' criticality, handles PII, and has medium revenue impact; the shared library push-shared-configs is consumed upstream by mission-critical services push-api and push-registrar (high revenue, PII), and critical service push-admin — indirect business impact reaches the highest tier (S_crit: 6.5/10)"", 'Very low exploit likelihood: EPSS is 0.56%, not listed on CISA KEV, and no public exploit code is available — this is the primary mitigating factor reducing urgency (S_exploit: 1.5/10)', 'Moderate blast radius: vulnerable package installed on 3 assets, push-shared-configs acts as a shared component consumed by 3 upstream services (2 mission-critical), and the push-campaign-api dependency chain extends through push-queue-worker and push-infra-external-api — the shared-library pattern amplifies propagation risk (S_blast: 5.5/10)']",0.85
CVE-2023-0842,22.8,P3,Medium,"['Vulnerability is a Prototype Pollution flaw (CVSS 5.3/Medium) in xml2js v0.4.23, an npm package — prototype pollution can allow property injection or denial of service depending on usage patterns', 'Affected asset (asset-push-004) is in PRODUCTION environment with CONFIDENTIAL data classification and exposed on a PARTNER-NETWORK, meaning external partners can reach the service increasing attack surface beyond internal-only', 'The hosted service push-campaign-api HANDLES PII and has MEDIUM revenue impact with IMPORTANT criticality — compromise could expose customer personal data processed through Salesforce Marketing Cloud campaign integrations', 'Exploit likelihood is LOW: EPSS score is 0.00326 (0.3%), NOT listed in CISA KEV, and NO public exploit is available — reducing the probability of active exploitation significantly', 'Blast radius is MODERATE: push-campaign-api has 4 direct downstream dependencies (push-queue-worker, push-shared-common, push-shared-configs, push-infra-external-api) and extended chain reaches push-legacy-worker; however NO upstream services depend on push-campaign-api limiting cascading impact', 'The push-infra-external-api downstream dependency also handles PII and manages API Gateway/Lambda permissions/VPC endpoints — a prototype pollution attack that propagates could affect infrastructure configuration', 'Package xml2js v0.4.23 is only installed on a single asset (asset-push-004), limiting the shared-component blast radius']",0.82
CVE-2025-68480,10.5,P4,Low,"['CVSS 6.9 (Medium) for Asymmetric Resource Consumption (Amplification) in marshmallow 3.21.1 — a DoS-class weakness, but intrinsic severity is the only notable factor', ""Asset 'asset-push-023' is in a DEV environment with INTERNAL network exposure and INTERNAL data classification on a SUPPORTING-tier host, dramatically reducing deployment exposure (S_exp ≈ 1.5/10)"", ""Hosted service 'push-cli-test-deps' is described as 'Python dependencies for the operator CLI integration tests' with SUPPORTING criticality, LOW revenue impact, and NO PII handling — negligible business criticality (S_crit ≈ 1.0/10)"", 'Threat intelligence is benign: EPSS score of 0.00132 (0.13%), NOT listed in CISA KEV, and NO known public exploit available — minimal exploit likelihood (S_exploit ≈ 0.5/10)', 'Zero upstream or downstream service dependencies — the blast radius is effectively nil; compromise of this test-dependency service would not cascade to any other service (S_blast ≈ 0.5/10)', 'Aggregate dimensional score: S_cvss(6.9) + S_exp(1.5) + S_crit(1.0) + S_exploit(0.5) + S_blast(0.5) = 10.4/50, normalized to 2.1/10']",0.95
CVE-2025-50181,9.5,P4,Low,"['Vulnerability Severity (S_cvss = 6.1/10): CVSS 6.1 Medium – Open Redirect vulnerability in urllib3. While the intrinsic severity is moderate, this type of vulnerability requires user interaction and is typically used in phishing chains rather than direct exploitation.', ""Deployment Exposure (S_exp = 1.5/10): All three affected assets (asset-push-021, asset-push-022, asset-push-023) reside in DEV environments with INTERNAL network exposure and INTERNAL data classification. They are 'supporting' tier pip dependency manifests (dev-requirements, ci-requirements, test-requirements) with no internet-facing attack surface. This dramatically reduces exploitability."", ""Business Criticality (S_crit = 1.0/10): All hosted services (push-build-deps-dev, push-build-deps-jenkins, push-cli-test-deps) are rated 'supporting' criticality with 'low' revenue impact and none handle PII. These are build tooling, CI pipeline dependencies, and test harness dependencies – not production-serving services."", 'Exploit Likelihood (S_exploit = 0.5/10): EPSS score is 0.00079 (<0.1%), the CVE is NOT listed on CISA KEV, and there are NO known public exploits. Threat intelligence signals indicate negligible active exploitation risk.', 'Blast Radius (S_blast = 0.5/10): No upstream or downstream service dependencies were found for any of the three affected services. The vulnerable urllib3 packages are isolated in development/CI/test dependency manifests with no path to production workloads. Compromise of these services would not cascade to any other part of the enterprise.', 'Aggregate Scoring: S_priority = 6.1 + 1.5 + 1.0 + 0.5 + 0.5 = 9.6 out of a maximum 50, normalized to 1.9/10. Despite a moderate intrinsic CVSS, the absence of production exposure, internet reachability, business-critical services, active threat signals, and dependency chains places this vulnerability firmly in the backlog/monitor tier.']",0.93
CVE-2024-47081,9.4,P4,Low,[],1
