vulnerability_id,contextual_risk_score,priority_label,risk_level,key_risk_drivers,confidence_level
CVE-2026-33750,35.7,P1,Critical,"['High CVSS severity (8.7)', 'Internet-facing mission-critical services', 'PII handling in core services', 'Widespread dependency chain', 'Shared npm package affecting multiple systems']",95.0
CVE-2026-27903,36.4,P1,High,"['Affects minimatch package in critical push notification infrastructure', 'Multiple internet-facing production assets with mission-critical tier', 'Shared library vulnerability creates widespread impact across all push services', 'Services handle PII and confidential data with high revenue dependencies', 'Complex service interdependencies amplify potential disruption']",0.95
CVE-2025-13465,13.7,P3,Medium,"['High CVSS severity (8.2) for prototype pollution vulnerability', 'Development environment reduces exposure risk', 'Supporting service with low business impact', 'Very low exploit likelihood (EPSS: 0.00029)', 'Limited blast radius affecting single dev asset']",0.95
CVE-2026-44240,15.7,P3,Medium-Low,"['High CVSS score (8.7) - Resource allocation vulnerability', 'Multiple vulnerabilities in same package (basic-ftp)', 'Affects CI/CD deployment infrastructure', 'Development environment reduces immediate risk']",0.95
CVE-2026-6357,13.1,P4,Low,"['High CVSS score (7.1) for arbitrary code injection', 'Development environment only (no production impact)', 'No PII handling or revenue-critical services affected', 'Extremely low exploit probability (EPSS 0.00016)', 'No known public exploits or KEV listing']",0.95
CVE-2024-56201,13.3,P4,Low,"['High CVSS score (8.8) but limited to dev environment', 'No production exposure - internal dev asset only', 'Very low exploit probability (EPSS: 0.00423)', 'No KEV listing or public exploits', 'Isolated to single supporting service with no dependencies']",0.95
CVE-2023-25345,15.5,P3,Medium-Low,"['Development environment only', 'Internal network exposure', 'Low EPSS score (0.433%)', 'No service dependencies', 'Supporting service with low revenue impact']",0.9
CVE-2026-24049,12.2,P4,Low,"['Development environment only', 'Internal network exposure', 'No service dependencies', 'Very low exploit probability (0.013%)', 'Supporting-tier service with low business impact']",0.95
CVE-2020-7660,27.6,P2,High,"['High CVSS score (8.1) - Arbitrary Code Injection', 'Affects production environment asset', 'Shared component serves as dependency for multiple mission-critical services', 'Two mission-critical services (push-api, push-registrar) depend on affected component', 'Multiple PII-handling services in dependency chain']",85.0
CVE-2026-31958,13.0,P4,Low,"['High CVSS score (8.7) but limited to development environment', ""Development-only service with 'not deployed' status"", 'Extremely low exploit probability (EPSS 0.027%)', 'Internal network exposure only', 'No production impact or PII handling']",0.95
CVE-2024-52804,13.0,P4,Low,"['Dev environment deployment', 'Internal network exposure only', 'Non-critical development tool', 'Very low exploit probability (EPSS: 0.00148)', 'No service dependencies']",0.95
CVE-2025-62727,2.74,P4,Low,"['Development environment only', 'Service not deployed in production', 'Internal network exposure only', 'Low exploit probability (EPSS: 0.00398)', 'Supporting service with low business impact']",0.95
CVE-2026-41324,16.7,P3,Medium-Low,"['High CVSS score (8.7) but limited to dev environment', 'Resource allocation vulnerability in CI/CD tool', 'Very low exploit likelihood (EPSS: 0.00055)', 'No service dependencies or business criticality', 'Internal network exposure only']",0.9
CVE-2026-32597,13.2,P4,Low,"['High CVSS score (8.7) for cryptographic signature flaw', 'Development environment only', 'Internal network exposure', 'Very low EPSS (0.00013)', 'No public exploits or KEV listing', 'Supporting service with low business impact']",0.95
CVE-2024-56326,14.1,P4,Low,"['High CVSS score (8.1) mitigated by development context', 'Development environment only - no production exposure', 'No PII handling or revenue impact', 'Very low exploit probability (EPSS 0.0042)', 'Isolated to single development asset with minimal blast radius']",0.95
CVE-2025-27516,14.8,P4,Low,"['High CVSS score (8.8) mitigated by development-only environment', ""Service explicitly described as 'Not deployed'"", 'Very low exploit probability (EPSS: 0.00121)', 'No service dependencies found', 'Internal network exposure only']",0.9
CVE-2024-47874,24.4,P3,Low,"['High CVSS score (8.7) for resource exhaustion vulnerability', 'Development environment only (not production)', 'Affects non-critical build dependencies service', 'Very low exploit likelihood (EPSS: 0.125%)', 'Limited blast radius with no service dependencies']",0.95
CVE-2025-47273,14.8,P4,Low,"['High CVSS score (8.8) for Directory Traversal', 'Development environment only - reduces immediate risk', 'Low exploit likelihood (0.487% EPSS, no KEV, no public exploits)', 'Limited scope - affects only build dependency systems', 'No PII/data exposure - internal data classification only']",0.95
CVE-2025-5889,30.1,P2,High,"['Mission-critical services affected (push-api, push-registrar)', 'Internet-facing exposure (6 assets)', 'Complex service interdependencies creating cascade risk', 'PII and regulated data handling', 'Widespread deployment across 18 assets']",0.9
CVE-2026-1703,8.2,P4,Low,"['Low Severity Vulnerability (CVSS 3.9)', 'Development Environment Only', 'Non-Critical Supporting Service', 'Extremely Low Exploit Probability (EPSS 0.00026)', 'Isolated Impact with No Dependencies']",0.9
CVE-2024-45813,35.0,P1,HIGH,"['Mission-critical services affected (push-api, push-registrar)', 'Production deployment (9 production assets)', 'Extensive dependency network (high blast radius)', 'GDPR worker vulnerability (PII handling)', 'Shared component impact (push-shared-common affects multiple critical services)']",85.0
CVE-2024-43799,32.2,P1,HIGH,"['Mission-critical internet-facing services affected (push-api, push-registrar)', 'PII and regulated data handling by multiple affected services', 'Complex service dependencies amplifying potential impact', 'Cross-site scripting vulnerability in widely used npm package', '14 total assets affected across production and staging']",0.95
CVE-2026-41907,31.3,P2,Medium-High,"['Internet-facing mission-critical push-api service with PII handling', 'Multiple critical services affected (push-admin, push-gdpr-worker, push-shared-access-control)', 'Wide blast radius affecting 9 interconnected services', 'Production environment exposure with confidential data classification']",0.85
CVE-2023-28155,29.5,P3,Medium,"['Production environment exposure', 'Confidential data handling with PII', 'Shared library dependency chain affecting multiple services', 'Partner-network external access', 'SSRF vulnerability type enabling internal reconnaissance']",0.85
CVE-2023-0842,29.3,P2,MODERATE-HIGH,"['Production environment with confidential data', 'Revenue-impacting marketing service', 'Partner-network exposure', 'PII handling', 'Multiple dependent services']",85.0
CVE-2025-68480,11.9,P4,Low,"['Medium CVSS score (6.9) for resource amplification vulnerability', 'Limited to development environment only', 'Affects test dependencies with minimal business impact', 'Very low exploit probability (EPSS: 0.00132)', 'No known public exploits or KEV listing', 'Minimal blast radius - isolated to single development asset']",0.95
CVE-2025-50181,11.6,P4,Low,"['Medium CVSS score (6.1)', 'Affects multiple assets (3)', 'Open Redirect vulnerability in urllib3', 'Common Python dependency']",85.0
CVE-2024-47081,10.4,P4,Low,"['Medium CVSS severity (5.9)', 'Development environment only', 'Non-production supporting services', 'Very low exploit probability (EPSS: 0.00208)', 'Limited scope (2 assets)']",0.9
CVE-2025-68146,12.5,P4,Low,"['Medium CVSS score (6.5) - Race condition vulnerability', 'Development environment only - No production exposure', 'Non-critical service - Build dependencies for development tools', 'Very low exploit likelihood - 0.004% EPSS, no known exploits', 'Isolated impact - Single development asset with no dependencies']",0.9
